Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
10/14/2022,430.0,,,430.0,0.0,0,0,0
10/13/2022,430.0,,,430.0,0.0,0,0,0
10/12/2022,430.0,,,430.0,0.0,0,0,0
10/10/2022,430.0,,,430.0,0.0,0,0,0
10/7/2022,430.0,,,430.0,0.0,0,0,0
10/6/2022,430.0,,,430.0,0.0,0,0,0
10/5/2022,430.0,,,430.0,0.0,0,0,0
10/4/2022,430.0,,,430.0,0.0,0,0,0
10/3/2022,430.0,,,430.0,0.0,0,0,0
9/30/2022,430.0,,,430.0,0.0,0,0,0
9/29/2022,430.0,,,430.0,0.0,0,0,0
9/28/2022,430.0,430.0,430.0,430.0,0.0,1061,456230,456230
9/27/2022,430.0,,,430.0,0.0,0,0,0
9/26/2022,430.0,,,430.0,0.0,0,0,0
9/23/2022,430.0,,,430.0,0.0,0,0,0
9/22/2022,430.0,,,430.0,0.0,0,0,0
9/21/2022,430.0,,,430.0,0.0,0,0,0
9/20/2022,430.0,,,430.0,0.0,0,0,0
9/19/2022,430.0,,,430.0,0.0,0,0,0
9/16/2022,430.0,,,430.0,0.0,0,0,0
9/15/2022,430.0,,,430.0,0.0,0,0,0
9/14/2022,430.0,,,430.0,0.0,0,0,0
9/13/2022,430.0,430.0,430.0,430.0,6.97,9,3870,3870
9/12/2022,402.0,,,402.0,0.0,0,0,0
9/9/2022,402.0,,,402.0,0.0,0,0,0
9/7/2022,402.0,,,402.0,0.0,0,0,0
9/6/2022,402.0,402.0,402.0,402.0,0.25,496,199392,199392
9/5/2022,401.0,,,401.0,0.0,0,0,0
9/2/2022,401.0,,,401.0,0.0,0,0,0
9/1/2022,401.0,,,401.0,0.0,0,0,0
8/31/2022,401.0,,,401.0,0.0,0,0,0
8/30/2022,401.0,,,401.0,0.0,0,0,0
8/29/2022,401.0,,,401.0,0.0,0,0,0
8/26/2022,401.0,,,401.0,0.0,0,0,0
8/25/2022,401.0,,,401.0,0.0,0,0,0
8/24/2022,401.0,,,401.0,0.0,0,0,0
8/23/2022,401.0,,,401.0,0.0,0,0,0
8/22/2022,401.0,401.0,401.0,401.0,-10.89,8,3208,3208
8/19/2022,450.0,,,450.0,0.0,0,0,0
8/18/2022,450.0,,,450.0,0.0,0,0,0
8/17/2022,450.0,,,450.0,0.0,0,0,0
8/16/2022,450.0,,,450.0,0.0,0,0,0
8/15/2022,450.0,,,450.0,0.0,0,0,0
8/12/2022,450.0,,,450.0,0.0,0,0,0
8/11/2022,450.0,450.0,450.0,450.0,-0.22,10,4500,4500
8/10/2022,451.0,,,451.0,0.0,0,0,0
8/9/2022,451.0,,,451.0,0.0,0,0,0
8/8/2022,451.0,,,451.0,0.0,0,0,0
8/5/2022,451.0,,,451.0,0.0,0,0,0
8/4/2022,451.0,,,451.0,0.0,0,0,0
8/3/2022,451.0,,,451.0,0.0,0,0,0
8/1/2022,451.0,,,451.0,0.0,0,0,0
7/29/2022,451.0,,,451.0,0.0,0,0,0
7/28/2022,451.0,,,451.0,0.0,0,0,0
7/27/2022,451.0,,,451.0,0.0,0,0,0
7/26/2022,451.0,,,451.0,0.0,0,0,0
7/25/2022,451.0,,,451.0,0.0,0,0,0
7/22/2022,451.0,,,451.0,0.0,0,0,0
7/21/2022,451.0,,,451.0,0.0,0,0,0
7/20/2022,451.0,,,451.0,0.0,0,0,0
7/19/2022,451.0,,,451.0,0.0,0,0,0
7/18/2022,451.0,,,451.0,0.0,0,0,0
7/15/2022,451.0,,,451.0,0.0,0,0,0
7/14/2022,451.0,451.0,451.0,451.0,-1.1,6,2706,2706
7/13/2022,456.0,,,456.0,0.0,0,0,0
7/12/2022,456.0,,,456.0,0.0,0,0,0
7/11/2022,456.0,,,456.0,0.0,0,0,0
7/8/2022,456.0,,,456.0,0.0,0,0,0
7/7/2022,456.0,,,456.0,0.0,0,0,0
7/6/2022,456.0,,,456.0,0.0,0,0,0
7/5/2022,456.0,,,456.0,0.0,0,0,0
7/4/2022,456.0,456.0,456.0,456.0,-12.48,300,136800,136800
7/1/2022,521.0,,,521.0,0.0,0,0,0
6/30/2022,521.0,,,521.0,0.0,0,0,0
6/29/2022,521.0,,,521.0,0.0,0,0,0
6/28/2022,521.0,,,521.0,0.0,0,0,0
6/27/2022,521.0,,,521.0,0.0,0,0,0
6/24/2022,521.0,,,521.0,0.0,0,0,0
6/23/2022,521.0,,,521.0,0.0,0,0,0
6/22/2022,521.0,,,521.0,0.0,0,0,0
6/21/2022,521.0,,,521.0,0.0,0,0,0
6/20/2022,521.0,,,521.0,0.0,0,0,0
6/17/2022,521.0,,,521.0,0.0,0,0,0
6/16/2022,521.0,,,521.0,0.0,0,0,0
6/15/2022,521.0,,,521.0,0.0,0,0,0
6/14/2022,521.0,,,521.0,0.0,0,0,0
6/13/2022,521.0,,,521.0,0.0,0,0,0
6/9/2022,521.0,,,521.0,0.0,0,0,0
6/8/2022,521.0,521.0,521.0,521.0,2.96,80,41680,41680
6/7/2022,506.0,,,506.0,0.0,0,0,0
6/6/2022,506.0,,,506.0,0.0,0,0,0
6/3/2022,506.0,,,506.0,0.0,0,0,0
6/2/2022,506.0,,,506.0,0.0,0,0,0
6/1/2022,506.0,,,506.0,0.0,0,0,0
5/31/2022,506.0,,,506.0,0.0,0,0,0
5/30/2022,506.0,,,506.0,0.0,0,0,0
5/27/2022,506.0,,,506.0,0.0,0,0,0
5/26/2022,506.0,,,506.0,0.0,0,0,0
5/25/2022,506.0,,,506.0,0.0,0,0,0
5/23/2022,506.0,,,506.0,0.0,0,0,0
5/20/2022,506.0,,,506.0,0.0,0,0,0
5/19/2022,506.0,,,506.0,0.0,0,0,0
5/18/2022,506.0,,,506.0,0.0,0,0,0
5/17/2022,506.0,,,506.0,0.0,0,0,0
5/16/2022,506.0,,,506.0,0.0,0,0,0
5/13/2022,506.0,,,506.0,0.0,0,0,0
5/12/2022,506.0,,,506.0,0.0,0,0,0
5/11/2022,506.0,,,506.0,0.0,0,0,0
5/10/2022,506.0,,,506.0,0.0,0,0,0
5/9/2022,506.0,,,506.0,0.0,0,0,0
5/6/2022,506.0,,,506.0,0.0,0,0,0
5/5/2022,506.0,,,506.0,0.0,0,0,0
5/4/2022,506.0,,,506.0,0.0,0,0,0
5/3/2022,506.0,,,506.0,0.0,0,0,0
4/29/2022,506.0,,,506.0,0.0,0,0,0
4/28/2022,506.0,,,506.0,0.0,0,0,0
4/27/2022,506.0,,,506.0,0.0,0,0,0
4/26/2022,506.0,,,506.0,0.0,0,0,0
4/21/2022,506.0,,,506.0,0.0,0,0,0
4/20/2022,506.0,,,506.0,0.0,0,0,0
4/19/2022,506.0,,,506.0,0.0,0,0,0
4/18/2022,506.0,,,506.0,0.0,0,0,0
4/15/2022,506.0,,,506.0,0.0,0,0,0
4/14/2022,506.0,,,506.0,0.0,0,0,0
4/13/2022,506.0,,,506.0,0.0,0,0,0
4/12/2022,506.0,,,506.0,0.0,0,0,0
4/11/2022,506.0,,,506.0,0.0,0,0,0
4/8/2022,506.0,,,506.0,0.0,0,0,0
4/7/2022,506.0,506.0,506.0,506.0,0.0,10,5060,5060
4/6/2022,506.0,,,506.0,0.0,0,0,0
4/5/2022,506.0,,,506.0,0.0,0,0,0
4/4/2022,506.0,,,506.0,0.0,0,0,0
4/1/2022,506.0,506.0,506.0,506.0,-2.32,100,50600,50600
3/31/2022,518.0,518.0,518.0,518.0,3.6,117,60606,60606
3/30/2022,500.0,,,500.0,0.0,0,0,0
3/29/2022,500.0,,,500.0,0.0,0,0,0
3/28/2022,500.0,,,500.0,0.0,0,0,0
3/25/2022,500.0,,,500.0,0.0,0,0,0
3/24/2022,500.0,,,500.0,0.0,0,0,0
3/23/2022,500.0,,,500.0,0.0,0,0,0
3/22/2022,500.0,,,500.0,0.0,0,0,0
3/21/2022,500.0,,,500.0,0.0,0,0,0
3/18/2022,500.0,,,500.0,0.0,0,0,0
3/17/2022,500.0,,,500.0,0.0,0,0,0
3/16/2022,500.0,,,500.0,0.0,0,0,0
3/15/2022,500.0,,,500.0,0.0,0,0,0
3/14/2022,500.0,,,500.0,0.0,0,0,0
3/11/2022,500.0,,,500.0,0.0,0,0,0
3/10/2022,500.0,,,500.0,0.0,0,0,0
3/9/2022,500.0,,,500.0,0.0,0,0,0
3/8/2022,500.0,,,500.0,0.0,0,0,0
3/7/2022,500.0,,,500.0,0.0,0,0,0
3/4/2022,500.0,,,500.0,0.0,0,0,0
3/3/2022,500.0,,,500.0,0.0,0,0,0
3/2/2022,500.0,,,500.0,0.0,0,0,0
3/1/2022,500.0,,,500.0,0.0,0,0,0
2/28/2022,500.0,,,500.0,0.0,0,0,0
2/25/2022,500.0,,,500.0,0.0,0,0,0
2/24/2022,500.0,,,500.0,0.0,0,0,0
2/23/2022,500.0,500.0,500.0,500.0,0.0,883,441500,441500
2/22/2022,500.0,,,500.0,0.0,0,0,0
2/21/2022,500.0,,,500.0,0.0,0,0,0
2/18/2022,500.0,,,500.0,0.0,0,0,0
2/17/2022,500.0,,,500.0,0.0,0,0,0
2/16/2022,500.0,,,500.0,0.0,0,0,0
2/15/2022,500.0,,,500.0,0.0,0,0,0
2/14/2022,500.0,,,500.0,0.0,0,0,0
2/11/2022,500.0,,,500.0,0.0,0,0,0
2/10/2022,500.0,,,500.0,0.0,0,0,0
2/9/2022,500.0,,,500.0,0.0,0,0,0
2/8/2022,500.0,,,500.0,0.0,0,0,0
2/7/2022,500.0,,,500.0,0.0,0,0,0
2/4/2022,500.0,,,500.0,0.0,0,0,0
2/3/2022,500.0,,,500.0,0.0,0,0,0
2/2/2022,500.0,,,500.0,0.0,0,0,0
2/1/2022,500.0,,,500.0,0.0,0,0,0
1/31/2022,500.0,,,500.0,0.0,0,0,0
1/28/2022,500.0,,,500.0,0.0,0,0,0
1/27/2022,500.0,,,500.0,0.0,0,0,0
1/26/2022,500.0,,,500.0,0.0,0,0,0
1/25/2022,500.0,,,500.0,0.0,0,0,0
1/24/2022,500.0,,,500.0,0.0,0,0,0
1/21/2022,500.0,,,500.0,0.0,0,0,0
1/20/2022,500.0,,,500.0,0.0,0,0,0
1/18/2022,500.0,,,500.0,0.0,0,0,0
1/17/2022,500.0,,,500.0,0.0,0,0,0
1/14/2022,500.0,,,500.0,0.0,0,0,0
1/13/2022,500.0,,,500.0,0.0,0,0,0
1/12/2022,500.0,,,500.0,0.0,0,0,0
1/11/2022,500.0,,,500.0,0.0,0,0,0
1/10/2022,500.0,,,500.0,0.0,0,0,0
1/5/2022,500.0,,,500.0,0.0,0,0,0
1/4/2022,500.0,,,500.0,0.0,0,0,0
1/3/2022,500.0,,,500.0,0.0,0,0,0
12/30/2021,500.0,,,500.0,0.0,0,0,0
12/29/2021,500.0,500.0,500.0,500.0,18.48,400,200000,200000
12/28/2021,422.0,,,422.0,0.0,0,0,0
12/27/2021,422.0,,,422.0,0.0,0,0,0
12/24/2021,422.0,,,422.0,0.0,0,0,0
12/23/2021,422.0,,,422.0,0.0,0,0,0
12/22/2021,422.0,,,422.0,0.0,0,0,0
12/21/2021,422.0,,,422.0,0.0,0,0,0
12/20/2021,422.0,,,422.0,0.0,0,0,0
12/17/2021,422.0,,,422.0,0.0,0,0,0
12/16/2021,422.0,,,422.0,0.0,0,0,0
12/15/2021,422.0,,,422.0,0.0,0,0,0
12/14/2021,422.0,,,422.0,0.0,0,0,0
12/13/2021,422.0,,,422.0,0.0,0,0,0
12/10/2021,422.0,,,422.0,0.0,0,0,0
12/9/2021,422.0,,,422.0,0.0,0,0,0
12/7/2021,422.0,,,422.0,0.0,0,0,0
12/6/2021,422.0,,,422.0,0.0,0,0,0
12/3/2021,422.0,,,422.0,0.0,0,0,0
12/2/2021,422.0,,,422.0,0.0,0,0,0
12/1/2021,422.0,,,422.0,0.0,0,0,0
11/30/2021,422.0,,,422.0,0.0,0,0,0
11/29/2021,422.0,,,422.0,0.0,0,0,0
11/26/2021,422.0,,,422.0,0.0,0,0,0
11/25/2021,422.0,,,422.0,0.0,0,0,0
11/24/2021,422.0,422.0,422.0,422.0,-15.6,8,3376,3376
11/23/2021,500.0,,,500.0,0.0,0,0,0
11/22/2021,500.0,,,500.0,0.0,0,0,0
11/19/2021,500.0,500.0,500.0,500.0,19.33,48,24000,24000
11/18/2021,419.0,,,419.0,0.0,0,0,0
11/17/2021,419.0,,,419.0,0.0,0,0,0
11/16/2021,419.0,,,419.0,0.0,0,0,0
11/15/2021,419.0,419.0,419.0,419.0,-0.24,9,3771,3771
11/12/2021,420.0,,,420.0,0.0,0,0,0
11/11/2021,420.0,,,420.0,0.0,0,0,0
11/11/2021,420.0,,,420.0,0.0,0,0,0
11/10/2021,420.0,,,420.0,0.0,0,0,0
11/9/2021,420.0,,,420.0,0.0,0,0,0
11/8/2021,420.0,,,420.0,0.0,0,0,0
11/5/2021,420.0,,,420.0,0.0,0,0,0
11/4/2021,420.0,,,420.0,0.0,0,0,0
11/3/2021,420.0,,,420.0,0.0,0,0,0
11/2/2021,420.0,,,420.0,0.0,0,0,0
11/1/2021,420.0,,,420.0,0.0,0,0,0
10/29/2021,420.0,,,420.0,0.0,0,0,0
10/28/2021,420.0,,,420.0,0.0,0,0,0
10/27/2021,420.0,,,420.0,0.0,0,0,0
10/26/2021,420.0,,,420.0,0.0,0,0,0
10/25/2021,420.0,,,420.0,0.0,0,0,0
10/22/2021,420.0,,,420.0,0.0,0,0,0
10/21/2021,420.0,,,420.0,0.0,0,0,0
10/20/2021,420.0,,,420.0,0.0,0,0,0
10/19/2021,420.0,,,420.0,0.0,0,0,0
10/18/2021,420.0,,,420.0,0.0,0,0,0
10/15/2021,420.0,420.0,420.0,420.0,-30.12,8,3360,3360
10/14/2021,601.0,,,601.0,0.0,0,0,0
10/13/2021,601.0,,,601.0,0.0,0,0,0
10/12/2021,601.0,,,601.0,0.0,0,0,0
10/8/2021,601.0,,,601.0,0.0,0,0,0
10/7/2021,601.0,,,601.0,0.0,0,0,0
10/6/2021,601.0,,,601.0,0.0,0,0,0
10/5/2021,601.0,,,601.0,0.0,0,0,0
10/4/2021,601.0,,,601.0,0.0,0,0,0
10/1/2021,601.0,,,601.0,0.0,0,0,0
9/30/2021,601.0,,,601.0,0.0,0,0,0
9/29/2021,601.0,,,601.0,0.0,0,0,0
9/28/2021,601.0,,,601.0,0.0,0,0,0
9/27/2021,601.0,,,601.0,0.0,0,0,0
9/24/2021,601.0,,,601.0,0.0,0,0,0
9/23/2021,601.0,,,601.0,0.0,0,0,0
9/22/2021,601.0,,,601.0,0.0,0,0,0
9/21/2021,601.0,,,601.0,0.0,0,0,0
9/20/2021,601.0,,,601.0,0.0,0,0,0
9/17/2021,601.0,,,601.0,0.0,0,0,0
9/16/2021,601.0,,,601.0,0.0,0,0,0
9/15/2021,601.0,,,601.0,0.0,0,0,0
9/14/2021,601.0,,,601.0,0.0,0,0,0
9/13/2021,601.0,601.0,601.0,601.0,-4.75,24,14424,14424
9/10/2021,631.0,,,631.0,0.0,0,0,0
9/9/2021,631.0,,,631.0,0.0,0,0,0
9/7/2021,631.0,,,631.0,0.0,0,0,0
9/6/2021,631.0,,,631.0,0.0,0,0,0
9/3/2021,631.0,,,631.0,0.0,0,0,0
9/2/2021,631.0,,,631.0,0.0,0,0,0
9/1/2021,631.0,,,631.0,0.0,0,0,0
8/31/2021,631.0,,,631.0,0.0,0,0,0
8/30/2021,631.0,,,631.0,0.0,0,0,0
8/27/2021,631.0,,,631.0,0.0,0,0,0
8/26/2021,631.0,,,631.0,0.0,0,0,0
8/25/2021,631.0,,,631.0,0.0,0,0,0
8/24/2021,631.0,,,631.0,0.0,0,0,0
8/23/2021,631.0,,,631.0,0.0,0,0,0
8/20/2021,631.0,,,631.0,0.0,0,0,0
8/19/2021,631.0,,,631.0,0.0,0,0,0
8/18/2021,631.0,,,631.0,0.0,0,0,0
8/17/2021,631.0,,,631.0,0.0,0,0,0
8/16/2021,631.0,,,631.0,0.0,0,0,0
8/13/2021,631.0,,,631.0,0.0,0,0,0
8/12/2021,631.0,,,631.0,0.0,0,0,0
8/11/2021,631.0,,,631.0,0.0,0,0,0
8/10/2021,631.0,,,631.0,0.0,0,0,0
8/9/2021,631.0,,,631.0,0.0,0,0,0
8/6/2021,631.0,,,631.0,0.0,0,0,0
8/5/2021,631.0,,,631.0,0.0,0,0,0
8/4/2021,631.0,,,631.0,0.0,0,0,0
8/3/2021,631.0,,,631.0,0.0,0,0,0
7/30/2021,631.0,,,631.0,0.0,0,0,0
7/29/2021,631.0,,,631.0,0.0,0,0,0
7/28/2021,631.0,,,631.0,0.0,0,0,0
7/27/2021,631.0,,,631.0,0.0,0,0,0
7/26/2021,631.0,,,631.0,0.0,0,0,0
7/23/2021,631.0,,,631.0,0.0,0,0,0
7/22/2021,631.0,,,631.0,0.0,0,0,0
7/21/2021,631.0,,,631.0,0.0,0,0,0
7/20/2021,631.0,,,631.0,0.0,0,0,0
7/19/2021,631.0,,,631.0,0.0,0,0,0
7/16/2021,631.0,,,631.0,0.0,0,0,0
7/15/2021,631.0,,,631.0,0.0,0,0,0
7/14/2021,631.0,,,631.0,0.0,0,0,0
7/13/2021,631.0,,,631.0,0.0,0,0,0
7/12/2021,631.0,631.0,631.0,631.0,-2.92,14,8834,8834
7/9/2021,650.0,,,650.0,0.0,0,0,0
7/8/2021,650.0,,,650.0,0.0,0,0,0
7/7/2021,650.0,,,650.0,0.0,0,0,0
7/6/2021,650.0,,,650.0,0.0,0,0,0
7/5/2021,650.0,,,650.0,0.0,0,0,0
7/2/2021,650.0,,,650.0,0.0,0,0,0
7/1/2021,650.0,,,650.0,0.0,0,0,0
6/30/2021,650.0,,,650.0,0.0,0,0,0
6/29/2021,650.0,,,650.0,0.0,0,0,0
6/28/2021,650.0,,,650.0,0.0,0,0,0
6/25/2021,650.0,,,650.0,0.0,0,0,0
6/24/2021,650.0,,,650.0,0.0,0,0,0
6/23/2021,650.0,,,650.0,0.0,0,0,0
6/22/2021,650.0,,,650.0,0.0,0,0,0
6/21/2021,650.0,,,650.0,0.0,0,0,0
6/17/2021,650.0,,,650.0,0.0,0,0,0
6/16/2021,650.0,,,650.0,0.0,0,0,0
6/15/2021,650.0,,,650.0,0.0,0,0,0
6/14/2021,650.0,,,650.0,0.0,0,0,0
6/11/2021,650.0,,,650.0,0.0,0,0,0
6/10/2021,650.0,,,650.0,0.0,0,0,0
6/9/2021,650.0,,,650.0,0.0,0,0,0
6/8/2021,650.0,,,650.0,0.0,0,0,0
6/7/2021,650.0,,,650.0,0.0,0,0,0
6/4/2021,650.0,,,650.0,0.0,0,0,0
6/3/2021,650.0,,,650.0,0.0,0,0,0
6/2/2021,650.0,,,650.0,0.0,0,0,0
6/1/2021,650.0,,,650.0,0.0,0,0,0
5/31/2021,650.0,,,650.0,0.0,0,0,0
5/28/2021,650.0,,,650.0,0.0,0,0,0
5/27/2021,650.0,,,650.0,0.0,0,0,0
5/26/2021,650.0,,,650.0,0.0,0,0,0
5/25/2021,650.0,,,650.0,0.0,0,0,0
5/21/2021,650.0,,,650.0,0.0,0,0,0
5/20/2021,650.0,,,650.0,0.0,0,0,0
5/19/2021,650.0,,,650.0,0.0,0,0,0
5/18/2021,650.0,,,650.0,0.0,0,0,0
5/17/2021,650.0,,,650.0,0.0,0,0,0
5/14/2021,650.0,,,650.0,0.0,0,0,0
5/12/2021,650.0,,,650.0,0.0,0,0,0
5/11/2021,650.0,,,650.0,0.0,0,0,0
5/10/2021,650.0,,,650.0,0.0,0,0,0
5/7/2021,650.0,,,650.0,0.0,0,0,0
5/6/2021,650.0,,,650.0,0.0,0,0,0
5/5/2021,650.0,,,650.0,0.0,0,0,0
5/4/2021,650.0,,,650.0,0.0,0,0,0
4/29/2021,650.0,,,650.0,0.0,0,0,0
4/28/2021,650.0,,,650.0,0.0,0,0,0
4/27/2021,650.0,,,650.0,0.0,0,0,0
4/26/2021,650.0,,,650.0,0.0,0,0,0
4/23/2021,650.0,,,650.0,0.0,0,0,0
4/22/2021,650.0,,,650.0,0.0,0,0,0
4/21/2021,650.0,650.0,650.0,650.0,0.0,6,3900,3900
4/20/2021,650.0,,,650.0,0.0,0,0,0
4/19/2021,650.0,,,650.0,0.0,0,0,0
4/16/2021,650.0,,,650.0,0.0,0,0,0
4/15/2021,650.0,,,650.0,0.0,0,0,0
4/14/2021,650.0,,,650.0,0.0,0,0,0
4/13/2021,650.0,,,650.0,0.0,0,0,0
4/12/2021,650.0,,,650.0,0.0,0,0,0
4/9/2021,650.0,,,650.0,0.0,0,0,0
4/8/2021,650.0,,,650.0,0.0,0,0,0
4/7/2021,650.0,650.0,650.0,650.0,0.0,9,5850,5850
4/6/2021,650.0,,,650.0,0.0,0,0,0
4/5/2021,650.0,,,650.0,0.0,0,0,0
4/2/2021,650.0,,,650.0,0.0,0,0,0
4/1/2021,650.0,,,650.0,0.0,0,0,0
3/31/2021,650.0,,,650.0,0.0,0,0,0
3/30/2021,650.0,,,650.0,0.0,0,0,0
3/29/2021,650.0,,,650.0,0.0,0,0,0
3/26/2021,650.0,650.0,650.0,650.0,0.0,4,2600,2600
3/25/2021,650.0,,,650.0,0.0,0,0,0
3/24/2021,650.0,,,650.0,0.0,0,0,0
3/23/2021,650.0,,,650.0,0.0,0,0,0
3/22/2021,650.0,,,650.0,0.0,0,0,0
3/19/2021,650.0,650.0,650.0,650.0,11.49,11,7150,7150
3/18/2021,583.0,,,583.0,0.0,0,0,0
3/17/2021,583.0,,,583.0,0.0,0,0,0
3/16/2021,583.0,,,583.0,0.0,0,0,0
3/15/2021,583.0,,,583.0,0.0,0,0,0
3/12/2021,583.0,,,583.0,0.0,0,0,0
3/11/2021,583.0,,,583.0,0.0,0,0,0
3/10/2021,583.0,,,583.0,0.0,0,0,0
3/9/2021,583.0,,,583.0,0.0,0,0,0
3/8/2021,583.0,,,583.0,0.0,0,0,0
3/5/2021,583.0,,,583.0,0.0,0,0,0
3/4/2021,583.0,,,583.0,0.0,0,0,0
3/3/2021,583.0,,,583.0,0.0,0,0,0
3/2/2021,583.0,,,583.0,0.0,0,0,0
3/1/2021,583.0,,,583.0,0.0,0,0,0
2/26/2021,583.0,,,583.0,0.0,0,0,0
2/25/2021,583.0,,,583.0,0.0,0,0,0
2/24/2021,583.0,,,583.0,0.0,0,0,0
2/23/2021,583.0,,,583.0,0.0,0,0,0
2/22/2021,583.0,,,583.0,0.0,0,0,0
2/19/2021,583.0,,,583.0,0.0,0,0,0
2/18/2021,583.0,,,583.0,0.0,0,0,0
2/17/2021,583.0,,,583.0,0.0,0,0,0
2/16/2021,583.0,,,583.0,0.0,0,0,0
2/15/2021,583.0,,,583.0,0.0,0,0,0
2/12/2021,583.0,,,583.0,0.0,0,0,0
2/11/2021,583.0,,,583.0,0.0,0,0,0
2/10/2021,583.0,,,583.0,0.0,0,0,0
2/9/2021,583.0,,,583.0,0.0,0,0,0
2/8/2021,583.0,,,583.0,0.0,0,0,0
2/5/2021,583.0,,,583.0,0.0,0,0,0
2/4/2021,583.0,,,583.0,0.0,0,0,0
2/3/2021,583.0,,,583.0,0.0,0,0,0
2/2/2021,583.0,,,583.0,0.0,0,0,0
2/1/2021,583.0,,,583.0,0.0,0,0,0
1/29/2021,583.0,,,583.0,0.0,0,0,0
1/28/2021,583.0,,,583.0,0.0,0,0,0
1/27/2021,583.0,,,583.0,0.0,0,0,0
1/26/2021,583.0,,,583.0,0.0,0,0,0
1/25/2021,583.0,,,583.0,0.0,0,0,0
1/22/2021,583.0,,,583.0,0.0,0,0,0
1/21/2021,583.0,,,583.0,0.0,0,0,0
1/20/2021,583.0,,,583.0,0.0,0,0,0
1/18/2021,583.0,,,583.0,0.0,0,0,0
1/15/2021,583.0,,,583.0,0.0,0,0,0
1/14/2021,583.0,,,583.0,0.0,0,0,0
1/13/2021,583.0,,,583.0,0.0,0,0,0
1/12/2021,583.0,,,583.0,0.0,0,0,0
1/11/2021,583.0,,,583.0,0.0,0,0,0
1/8/2021,583.0,,,583.0,0.0,0,0,0
1/5/2021,583.0,,,583.0,0.0,0,0,0
1/4/2021,583.0,,,583.0,0.0,0,0,0
12/30/2020,583.0,,,583.0,0.0,0,0,0
12/29/2020,583.0,,,583.0,0.0,0,0,0
12/28/2020,583.0,,,583.0,0.0,0,0,0
12/25/2020,583.0,,,583.0,0.0,0,0,0
12/24/2020,583.0,,,583.0,0.0,0,0,0
12/23/2020,583.0,,,583.0,0.0,0,0,0
12/22/2020,583.0,,,583.0,0.0,0,0,0
12/21/2020,583.0,,,583.0,0.0,0,0,0
12/18/2020,583.0,,,583.0,0.0,0,0,0
12/17/2020,583.0,,,583.0,0.0,0,0,0
12/16/2020,583.0,,,583.0,0.0,0,0,0
12/15/2020,583.0,,,583.0,0.0,0,0,0
12/14/2020,583.0,,,583.0,0.0,0,0,0
12/11/2020,583.0,,,583.0,0.0,0,0,0
12/10/2020,583.0,,,583.0,0.0,0,0,0
12/9/2020,583.0,,,583.0,0.0,0,0,0
12/7/2020,583.0,,,583.0,0.0,0,0,0
12/4/2020,583.0,,,583.0,0.0,0,0,0
12/3/2020,583.0,,,583.0,0.0,0,0,0
12/2/2020,583.0,,,583.0,0.0,0,0,0
12/1/2020,583.0,,,583.0,0.0,0,0,0
11/30/2020,583.0,,,583.0,0.0,0,0,0
11/27/2020,583.0,,,583.0,0.0,0,0,0
11/26/2020,583.0,,,583.0,0.0,0,0,0
11/25/2020,583.0,,,583.0,0.0,0,0,0
11/24/2020,583.0,,,583.0,0.0,0,0,0
11/23/2020,583.0,,,583.0,0.0,0,0,0
11/20/2020,583.0,,,583.0,0.0,0,0,0
11/19/2020,583.0,,,583.0,0.0,0,0,0
11/18/2020,583.0,,,583.0,0.0,0,0,0
11/17/2020,583.0,,,583.0,0.0,0,0,0
11/16/2020,583.0,,,583.0,0.0,0,0,0
11/13/2020,583.0,,,583.0,0.0,0,0,0
11/12/2020,583.0,,,583.0,0.0,0,0,0
11/11/2020,583.0,,,583.0,0.0,0,0,0
11/11/2020,583.0,,,583.0,0.0,0,0,0
11/10/2020,583.0,,,583.0,0.0,0,0,0
11/9/2020,583.0,,,583.0,0.0,0,0,0
11/6/2020,583.0,,,583.0,0.0,0,0,0
11/5/2020,583.0,,,583.0,0.0,0,0,0
11/4/2020,583.0,,,583.0,0.0,0,0,0
11/3/2020,583.0,,,583.0,0.0,0,0,0
11/2/2020,583.0,,,583.0,0.0,0,0,0
10/30/2020,583.0,,,583.0,0.0,0,0,0
10/29/2020,583.0,,,583.0,0.0,0,0,0
10/28/2020,583.0,,,583.0,0.0,0,0,0
10/27/2020,583.0,,,583.0,0.0,0,0,0
10/26/2020,583.0,,,583.0,0.0,0,0,0
10/22/2020,583.0,,,583.0,0.0,0,0,0
10/21/2020,583.0,,,583.0,0.0,0,0,0
10/20/2020,583.0,,,583.0,0.0,0,0,0
10/19/2020,583.0,,,583.0,0.0,0,0,0
10/16/2020,583.0,,,583.0,0.0,0,0,0
10/15/2020,583.0,,,583.0,0.0,0,0,0
10/14/2020,583.0,,,583.0,0.0,0,0,0
10/13/2020,583.0,,,583.0,0.0,0,0,0
10/9/2020,583.0,,,583.0,0.0,0,0,0
10/8/2020,583.0,583.0,583.0,583.0,-16.83,1797,1047651,1047651
10/7/2020,701.0,,,701.0,0.0,0,0,0
10/6/2020,701.0,,,701.0,0.0,0,0,0
10/5/2020,701.0,,,701.0,0.0,0,0,0
10/2/2020,701.0,,,701.0,0.0,0,0,0
10/1/2020,701.0,,,701.0,0.0,0,0,0
9/30/2020,701.0,,,701.0,0.0,0,0,0
9/29/2020,701.0,,,701.0,0.0,0,0,0
9/28/2020,701.0,,,701.0,0.0,0,0,0
